respondent_id,q1,q2,q3,q4,q5,q6,q7,q8,q9
R01,làm việc nhóm,"Không nói gì, và cũng mặc kệ luôn","Ngại mất lòng, Nghĩ nói cũng không đổi được gì",15-30 phút,Có,"Có người không làm phần của mình, không ai dám nhắc",Thấy được quan tâm,Tham khảo rồi tự chỉnh,không có
R02,Có người trễ dl,"Không nói gì, tự làm bù phần đó","Nghĩ nói cũng không đổi được gì, Tự làm nhanh hơn đi giải thích",15-30 phút,Có,"Có người không làm phần của mình, không ai dám nhắc",Thấy được quan tâm,Tin và làm theo,không có
R03,conflict với thành viên trong nhóm,Nói thẳng với người đó,"Ngại mất lòng, Sợ bị coi là khó tính, Nghĩ nói cũng không đổi được gì",Dưới 15 phút,Có,"Không biết ai đang làm đến đâu, phải đi hỏi từng người",Thấy phiền,Tin và làm theo,không thích
R04,Cập nhật tình trạng những người khác,Nói thẳng với người đó,"Ngại mất lòng, Sợ bị coi là khó tính",15-30 phút,Có,"Không biết ai đang làm đến đâu, phải đi hỏi từng người",Tuỳ nó nói đúng hay sai,Tham khảo rồi tự chỉnh,Ứng dụng can thiệp quá sâu vào nhóm
R05,Ko connect,"Không nói gì, và cũng mặc kệ luôn","Nghĩ nói cũng không đổi được gì, Tự làm nhanh hơn đi giải thích",15-30 phút,Có,"Tranh luận ý tưởng mãi không chốt được, ai cũng giữ ý mình",Thấy bị theo dõi,Tham khảo rồi tự chỉnh,Hiện tại nhiều lựa chọn
R06,nhiều việc,"Không nói gì, tự làm bù phần đó",Nghĩ nói cũng không đổi được gì,15-30 phút,Có,"Không biết ai đang làm đến đâu, phải đi hỏi từng người",Thấy bị theo dõi,Tham khảo rồi tự chỉnh,ok
R07,Quản lý thời gian,"Không nói gì, và cũng mặc kệ luôn","Ngại mất lòng, Sợ bị coi là khó tính",15-30 phút,Có,"Tranh luận ý tưởng mãi không chốt được, ai cũng giữ ý mình",Thấy phiền,Tin và làm theo,Lười biếng 
R08,phân chia role,"Không nói gì, và cũng mặc kệ luôn",Sợ bị coi là khó tính,15-30 phút,Có,"Không biết ai đang làm đến đâu, phải đi hỏi từng người",Thấy bị theo dõi,Tham khảo rồi tự chỉnh,Khó
R09,Đi khảo sát,Nói thẳng với người đó,Sợ bị coi là khó tính,15-30 phút,Có,Họp nhiều mà không ra quyết định gì,"Buồn cười, kệ nó",Tham khảo rồi tự chỉnh,Tôi dùng mà
R10,Không làm ,"Không nói gì, tự làm bù phần đó",Tự làm nhanh hơn đi giải thích,Trên 1 tiếng,Có,"Có người không làm phần của mình, không ai dám nhắc","Buồn cười, kệ nó",Tham khảo rồi tự chỉnh,Sự tin cậy
R11,Phải tổng hợp thông tin cho nhóm,"Không nói gì, tự làm bù phần đó",Khác,15-30 phút,Có,"Có người không làm phần của mình, không ai dám nhắc",Thấy bị theo dõi,Tham khảo rồi tự chỉnh,Không có
R12,Chia role,Nói bóng gió trong group chat,Ngại mất lòng,Dưới 15 phút,Có,"Không biết ai đang làm đến đâu, phải đi hỏi từng người",Thấy phiền,Tham khảo rồi tự chỉnh,Ko biet
R13,phân chia team role,Nói thẳng với người đó,Sợ bị coi là khó tính,15-30 phút,Có,"Không biết ai đang làm đến đâu, phải đi hỏi từng người",Thấy được quan tâm,Tham khảo rồi tự chỉnh,không rõ
R14,Tôi không biết dùng git ,Nhắn riêng cho trưởng nhóm,"Ngại mất lòng, Nghĩ nói cũng không đổi được gì",Dưới 15 phút,Có,"Có người không làm phần của mình, không ai dám nhắc",Thấy phiền,Tin và làm theo,Tôi chưa tuengf thử bao giờ nên chưa biết được liệu nó có hoạt động tốt hay không 
R15,khó kiểm soát code push lên ,Nói thẳng với người đó,Nghĩ nói cũng không đổi được gì,30-60 phút,Có,"Chia việc lệch ngay từ đầu, có người ôm hết",Thấy được quan tâm,Tham khảo rồi tự chỉnh,nội dung không quá minh bạch 
